id,club,nombre,fundacion,direccion,titulos,estadio,detalles,escudo
Peñarol,Peñarol,Club Atlético Peñarol,x,x,x,5 Copas Libertadores (1960-1961 1966 1982 y 1987) - 3 Copas de Honor (1909 1911 1918) - 1 Copa Competencia (1916) - 1 Copa Río de la Plata (1928),x,x
Platense, Platense,Club Atlético Platense,x,1 Campeonato de 1° División (AP25),x,x,x,https://globopedia.github.io/Rivales-Huracan/Escudos/Platense.png
Porteño,Porteño,Club Atlético Porteño,x,2 Campeonatos de 1° División (1912 y 1914),x,x,x,x
Quilmes,Quilmes,Quilmes Atlético Club,x,x,2 Campeonatos de 1° División (1912 y 1978),x,x,x
Racing Club, Racing Club, Racing Club,25 de marzo de 1903,Racing Club,1 Copa Libertadores (1967) - 1 Copa Sudamericana (2024) - 1 Supercopa (1988) - 18 Campeonatos de 1° División (1913-1914-1915-1916-1917-1918-1919 1921 1925 1949-1950-1951 1958 1961 1966 AP01 2014 y 18/19) - 2 Copas Competencia (1933 y 1945) - 1 Campeonato Béccar Varela (1932) - 1 Copa de Honor (1913) - 2 Copas Río de la Plata (1917-1918) - 5 Copas Argentina (1913-1914 1916-1917-1918),x,x,https://globopedia.github.io/Rivales-Huracan/Escudos/Racing%20Club.png
Dep. Riestra, Dep. Riestra,Deportivo Riestra Asociación de Fomento Barrio Colón,x,x,x,x,x,https://globopedia.github.io/Rivales-Huracan/Escudos/Dep.%20Riestra.png
River Plate, River Plate, Club Atlético River Plate,15 de mayo de 1904,x,4 Copas Libertadores (1986 1996 2015 y 2018) - 1 Copa Sudamericana (2014) - 1 Supercopa (1997) - 37 Campeonatos de 1° División (1920 1932 1936-1937 1941-1942 1945 1947 1952-1953 1955-1956-1957 1975-NA75 1977 1979-NA79-1980 NA81 85/86 89/90 AP91 AP93 AP94 AP96 CL97 AP97 AP99-CL00 AP02-CL03 AP04 CL08 FI14 2021 y 2023) - 3 Copas Argentina (2016-2017 y 2019) - 2 Supercopas Argentina (2017 y 2019) - 2 Copas Competencia (1914 y 1932) - 5 Copas Río de la Plata (1936-1937 1941 1945 y 1947) - 3 Copas Argentina (1937 y 1941-1942) - 1 Copa Escobar (1941),x,x,https://globopedia.github.io/Rivales-Huracan/Escudos/River%20Plate.png
Rosario Central (Ros), Rosario Central, Club Atlético Rosario Central,24 de diciembre de 1889,x,1 Copa Conmebol (1995) - 5 Campeonatos de 1° División (NA71 NA73 NA80 86/87 y CO23) - 1 Copa Argentina (2018) - 2 Copas Competencia (1913 y 1920) - 1 Copa Argentina (1915),x,x,https://globopedia.github.io/Rivales-Huracan/Escudos/Rosario%20Central.png
San Isidro,San Isidro,Club Atlético San Isidro,x,1 Copa Competencia (1912),x,x,x,x
San Lorenzo, San Lorenzo, Club Atlético San Lorenzo de Almagro,1° de abril de 1908,x,1 Copa Libertadores (2014) - 1 Copa Sudamericana (2002) - 1 Copa Mercosur (2001) - 15 Campeonatos de 1° División (1923-1924 1927 1933 HO36 1946 1959 1968 1972 NA72 NA74 CL95 CL01 CL07 e IN13) - 1 Supercopa Argentina (2015) - 1 Campeonato de la República (1943) - 1 Copa Río de la Plata (1927),x,x,https://globopedia.github.io/Rivales-Huracan/Escudos/San%20Lorenzo.png
San Martín (SJ), San Martín (SJ),Club Atlético San Martín,x,x,x,x,x,https://globopedia.github.io/Rivales-Huracan/Escudos/San%20Mart%C3%ADn%20(SJ).png
San Martín (Tmn),San Martín (Tmn),Club Atlético San Martín,x,1 Campeonato de la República (1944),x,x,x,x
Sarmiento (Jun), Sarmiento (Jun),Club Atlético Sarmiento,x,x,x,x,x,https://globopedia.github.io/Rivales-Huracan/Escudos/Sarmiento%20(Jun).png
Taleres (Cba), Talleres (Cba), Club Atlético Talleres,12 de octubre de 1913,x,1 Copa Conmebol (1999),x,x,https://globopedia.github.io/Rivales-Huracan/Escudos/Talleres%20(Cba).png
Tigre,Tigre,Club Atlético Tigre,3 de agosto de 1902,"Av. Victoria 123",1 Copa Superliga (2019),"José Dellagiovanna - Av. Perón 456 (26000 espectadores).  Inaugurado en 1936","Tigre es conocido como el 'Matador'.  Anteriormente jugó en la ciudad de Tigre",https://globopedia.github.io/Rivales-Huracan/Escudos/Tigre.png
Tiro Federal (Ros),Tiro Federal (Ros),Club Atlético Tiro Federal Argentino,x,1 Copa Argentina (1920),x,x,x,x
Atl. Tucumán (Tmn), Atl. Tucumán (Tmn),Club Atlético Tucumán,x,x,x,x,x,https://globopedia.github.io/Rivales-Huracan/Escudos/Atl.%20Tucum%C3%A1n%20(TMN).png
Unión (SF), Unión (SF),Club Atlético Unión,x,x,x,x,x,https://globopedia.github.io/Rivales-Huracan/Escudos/Uni%C3%B3n%20(SF).png
Vélez Sarsfield, Vélez Sarsfield, Club Atlético Vélez Sarsfield,1° de enero de 1910,x,1 Copa Libertadores (1994) - 1 Supercopa (1996) - 10 Campeonatos de 1° División (NA68 CL93 AP95-CL96 CL98 CL05 CL09 CL11 IN12 y 2024) - 1 Copa Campeonato () - 1 Supercopa (2013),x,x,https://globopedia.github.io/Rivales-Huracan/Escudos/V%C3%A9lez%20Sarsfield.png

